iter	RMSE
0	1.087672659
1	0.8971603927
2	0.767671873
3	0.6976200865
4	0.6499154539
5	0.6194162882
6	0.6028579974
7	0.5888618353
8	0.5773358728
9	0.5701998427
10	0.5648673704
11	0.5577985814
12	0.5533847824
13	0.5510422667
14	0.5444169469
15	0.5411734486
16	0.5393948882
17	0.5379420965
18	0.5336124458
19	0.5247334549
20	0.5196905644
21	0.5177960837
22	0.5129856431
23	0.5090192131
24	0.5078274508
25	0.5025684155
26	0.499688125
27	0.4962906014
28	0.4951056287
29	0.4930984535
30	0.4920269229
31	0.488809877
32	0.4872371785
33	0.4850444296
34	0.4837721089
35	0.4815158788
36	0.4785344955
37	0.4765646667
38	0.4737988319
39	0.4719906592
40	0.4698981553
41	0.466700704
42	0.4654970022
43	0.4653334337
44	0.4630245701
45	0.4629107689
46	0.4605215717
47	0.458595544
48	0.4583948332
49	0.4576540478
50	0.454651951
51	0.4518628106
52	0.4508850989
53	0.4493150218
54	0.4480292812
55	0.4464121873
56	0.4444971605
57	0.444127367
58	0.4416536166
59	0.4396519351
60	0.4382342717
61	0.437511329
62	0.4364526199
63	0.4338173832
64	0.4325300921
65	0.4318794064
66	0.4288969305
67	0.4277216176
68	0.426507177
69	0.4253666265
70	0.4242272753
71	0.4218998476
72	0.4204712173
73	0.4192368129
74	0.4190041483
75	0.4176540781
76	0.4176201025
77	0.4150727014
78	0.413022486
79	0.4109329295
80	0.4095726881
81	0.4083784121
82	0.4072896381
83	0.4063784013
84	0.4053613119
85	0.4053336907
86	0.4045321583
87	0.4037154608
88	0.402815564
89	0.4018989985
90	0.4011107271
91	0.4000582486
92	0.397695638
93	0.3976788342
94	0.3963911337
95	0.3952982477
96	0.3948546527
97	0.3935822031
98	0.3918763352
99	0.3906360655
