iter	Passed	Remaining
0	3	394
1	14	718
2	20	666
3	24	580
4	29	560
5	36	573
6	39	525
7	45	522
8	50	510
9	53	482
10	56	453
11	58	428
12	64	433
13	67	416
14	70	398
15	73	383
16	78	383
17	81	370
18	83	357
19	86	345
20	88	333
21	92	328
22	96	321
23	98	313
24	102	306
25	104	298
26	108	292
27	111	286
28	115	282
29	119	278
30	121	270
31	125	267
32	129	263
33	132	257
34	135	251
35	138	245
36	142	242
37	145	238
38	148	232
39	151	227
40	156	225
41	159	220
42	161	214
43	164	208
44	166	203
45	168	198
46	172	194
47	176	191
48	179	187
49	182	182
50	185	177
51	190	176
52	194	172
53	197	168
54	200	163
55	205	161
56	208	156
57	210	152
58	213	148
59	215	143
60	220	141
61	224	137
62	227	133
63	229	129
64	232	125
65	236	122
66	240	118
67	244	114
68	246	110
69	249	106
70	254	103
71	257	100
72	259	96
73	262	92
74	264	88
75	270	85
76	272	81
77	275	77
78	277	73
79	280	70
80	284	66
81	287	63
82	291	59
83	293	55
84	296	52
85	300	48
86	302	45
87	304	41
88	307	38
89	309	34
90	312	30
91	317	27
92	320	24
93	322	20
94	325	17
95	327	13
96	333	10
97	339	6
98	341	3
99	344	0
